,Random Ingredients,Recipe Title,Ingredient Phrases,Recipe Instructions,Recipe Titile
0,"rice krispies,yellow bell pepper,garnish",," 1 package rice krispies, frozen, thawed | 1 large yellow sweet bell pepper or 1 large red bell pepper, cut lengthwise into 1/2-inch pieces | 1 large grated peeled goya krispie crushed pills ( optional ) "," heat oil in a large skillet over medium heat.  fry krispies until golden, 2 to 3 minutes.  flap to test with tongs and remove with a slotted spoon.  add remaining ingredients, except for the crumbs and the pills, tossing to combine, then place in a 2qt.  slow cooker.  cook at a simmer, stirring occasionally, until pills are very soft and springy, about 15 minutes. 


",Korean Fried Rice and Pepper Krispies
1,"beer,topping",, 2 1/2 ounces low fat beer | 1 teaspoon crushed ice | 1/2 cup chopped toasted pears or 1/2 cup chopped walnuts ," bring your beer, pears or walnuts to a boil.  add sauce ingredients and return to a boil.  reduce heat and simmer 45 minutes.  add ice and heat through, serve with crackers. 


",Creamy Guinness or Beer Sauce
2,"breadcrumb,molasses",, 2 large eggs | 3/4 cup breadcrumbs | 2/3 cup molasses ," preheat oven to 375 degrees f 190 degrees c.  grease a deep loaf pan over high heat.  in a large bowl, lightly beat together eggs, bread crumbs, and molasses.  sprinkle the bread lightly on top of eggs mixture.  bake for 15 minutes or until golden brown, stirring constantly.  remove pan from oven and cover with foil to prevent a skin from forming.  cool completely.  serve warm or warm. 


",Baking Soda Bread
3,"rice wine,italian sausage,berry",, 1 lb italian sausage | 16 ounces rice wine vinegar | 2 cups chopped cooked fresh berries ( not dried or dried ) | salt & freshly ground black pepper | 1/2 cup sliced fresh parsley ," brown the sausage over low heat.  add rice wine vinegar and cook for 5 to 10 minutes.  add sliced berries.  cook for another 5 minutes.  sprinkle with salt and freshly ground black pepper.  allow to cool slightly.  add sliced sausage.  add chopped parsley to taste. 


",Italian Sausages with a Bitter Orange Blossom Sauce
4,"idaho potato,white vinegar,strawberry,cauliflower,loaf french bread,egg substitute",, 2 lbs corned steamed idaho potatoes | 1 lb cauliflower ( about 1 cup frozen ) | 2 envelopes egg substitute | 2 tablespoons white vinegar ," cook potatoes in boiling salted water for 2 minutes.  drain and cut into 34 inch cubes.  chop florets lengthwise and remove any tough core.  chop remaining florets.  cook onions at low heat for 12 minutes.  while onions are cooking, place corned vegetables in a mixing bowl.  in skillet, combine eggs, egg substitute, vinegar, and cold water.  bring to boiling.  stir in cauliflower and potatoes.  add more cold water if your mixture is too thick.  pour soup into a 10 by 9 inch casserole dish.  cover and bake at 400 degrees f for 1 - 14 hours on low for medium.  if baking in an oven, broil for an additional 30 minutes or until tender. 


",Earlsberg (Cauliflower Soup)
5,"veal,hot green chili pepper",," 15 -16 ounces frozen veal or 15-16 ounces dry veal, thawed and squeezed dry | 1 -8 hot bell peppers | veal - cooked hot peppers, drained, rinsed and diced "," in a large bowl, combine veal and peppers ; toss to coat.  sprinkle pepper with salt and pepper.  in a bowl, combine the hot and cooked chiles.  let the ingredients simmer to desired temperature.  cook in a microwave for 8 to 10 minutes for mild chili and 1 minute for milder chili. 


",Creamy Vegetable Hot-Chili Pasta
6,"egg noodle,celery,cumin seed,beef bouillon cube,pesto sauce,head romaine lettuce,snow pea",," 2 cups egg noodles | 1/2 tablespoon salt | 1 beef bouillon cube, melted | 1 cup dried curd lettuce, coarsely chopped | 1/2 cup cubed fresh snow peas | 1 cup shredded fresh shredded celery | 3 teaspoons pesto sauce "," brown the egg noodles and drain.  rinse under cold running water and drain until smooth.  mix 1 tbsp salt and 12 tsp pepper with a large bowl and set aside.  mix the cooked noodles with the beef bouillon cube in the bowl and set aside.  scoop out the curd lettuce, snow peas, celery, pesto sauce, and beef broth from the beef stock and transfer to a saucepan.  lower to a simmer over low heat until the sauce is thickened and the noodles are tender.  stir the noodles and beef broth into the sauce, stirring to dissolve any large clumps. 


",Creamy Egg Noodles
7,"kumara,cumin seed,crisco,sauce,green bean,vegetable stock,chicken bouillon",," 2 cups vegetable stock | 2 cups chicken bouillon | 1 tablespoon cumin seed | 3 tablespoons kumara, dried ( or more ) | 1/4 cup green beans, trimmed, rinsed, and cut into 5 cm chunks | 1 tablespoon crisco ( toasted ) | 1 teaspoon hot sauce ( to taste ) "," pour the vegetable stock stock into a stock pot and bring to a boil.  remove from heat and allow to cool.  combine the vegetable stock, bouillon, cumin, kumara, green beans, Crisco, hot sauce, and cumin seeds.  mix well and cover and let simmer for 10 minutes or until the beans are very tender.  pour the beer over the bean mixture and stir.  remove from heat, stir in the cumin seeds, and serve immediately. 


",Green Beans with Beer
8,"cardamom,orange,pear,chili paste,italian salad dressing mix",," 1 1 tablespoon lemon zest | 2 teaspoons black cumin seeds | 5 whole cloves | 1/3 teaspoon cinnamon | 2 -3 whole cloves | 1 lime, juiced | 15 whole cardamom | 1/2 teaspoon ground coriander | 5 fresh garlic cloves | 5 oranges, zest of, peeled | 1/2 cup hot italian salad dressing mix | 2 cups chicken broth | 1/4 cup fresh lemon juice | 1/4 cup chicken fat, or as needed | 1 1/4 - 1 1 1/4 cups chicken broth | 1 teaspoon fresh ground turmeric | 1 tablespoon chili paste | 1/4 teaspoon whole cloves | 1 -2 tablespoon orange juice ( from 1 whole lemon if you are not quite sure ) | 1/2 tablespoon dried coriander | 1 1/4 teaspoons paprika | 2 tablespoons fresh lemon juice ( from 1 whole lemon if you are not quite sure ) "," to make this salad dressing in a small bowl, dissolve all the spices and lemon zest in 2 tablespoons lemon juice ; set aside.  to make this sauce in a small saucepan, stir together the chicken broth, lemon juice, chicken fat, turmeric, chicken broth, and zest.  bring to a boil ; remove from heat, reserve 1 - 12 cups broth.  pour 1 - 14 cups chicken broth mixture into a small bowl ; cover and set aside.  add the orange segments and 14 cup lemon juice to the pan.  cook and stir until the skin is crispy brown, but not burnt, about 2 minutes.  if necessary, stir in the salt to thin it out and remove from the heat.  set aside.  to make this sauce in a small saucepan, stir together the chicken fat, chicken broth, lemon juice, chicken fat, lime juice, chicken broth, and zest ; set aside.  to make this sauce in a small saucepan, stir together the chicken fat, lemon juice, chicken broth, and lemon juice ; set aside.  to make this sauce in a small saucepan, stir together the chicken fat, chicken broth, and lemon juice ; set aside.  to make this sauce in a small saucepan, stir together the chicken broth, lemon juice, chicken fat, butter, and cinnamon ; set aside.  to make this sauce in a small saucepan, add the orange segments to the pan, cook and stir until the skin is crispy brown and the orange segments have turned darker, about 34 minutes.  turn the heat up to mediumlow and cook and stir until the skin of the chicken has turned dark golden brown, about 3 minutes.  if necessary, stir in the remaining 12 cup broth mixture.  remove from the heat and heat through ; stir in the cinnamon stick and the lemon juice.  pour the sauce over cooked chicken and serve immediately. 


",Baked Chicken (Lamb Shanks) with Sweetened Lemon and Pineapple Sauce
9,"thyme,chinese five spice powder,tartar sauce",," 4 1/2 cups all-purpose flour | 3/4 cup sugar snap pea, halved | 3 tablespoons extra virgin olive oil | 4 lbs dried sweet and sour cherry tomatoes | 1/2 cinnamon stick | 1 teaspoon minced garlic cloves | 1 teaspoon cinnamon | 2 teaspoons mccormick's spicy five spice powder | 2 tablespoons all-purpose flour | 1 1/4 lbs canned chick-flour or 1 1/4 lbs homemade cornstarch water ( recipe 4667 ) "," preheat oven to 400 degrees fahrenheit.  in a large bowl, toss together first 7 ingredients until well blended.  add tomatoes and toss to coat.  put 1 to 2 tbsps.  cinnamon in the bottom of a 1quart casserole dish ; sprinkle with remaining cinnamon stick.  bake 10 minutes.  in a small bowl, combine flour, sugar snap pea, chick flour, and 14 cup boiling water ; mix well and add to baking dish, stirring.  bake 15 to 20 minutes or until golden and brown.  remove from oven and garnish with thyme glaze. 


",Sweet and Sour Stuffed Peas
10,"penne,italian herb,allspice berry",," 1 lb penne | 2 teaspoons allspice berries | 2 teaspoons black pepper | 3 cups chicken broth, divided "," preheat oven to 400f cut and skin the penne.  in a 1 quart saucepan, combine pepper and broth.  bring to a simmer and add the penne.  simmer over low heat until reduced in bulk, about 45 minutes, or until pasta is tender, stirring occasionally.  while pasta is cooking, place the pepper sauce in the lower 10quart saucepan.  bring to a boil over high heat.  add the remaining 13 cup broth and bring to a boil again.  add the penne, stir well, cover again, and let stand for 5 minutes stir the remaining broth into the sauce, stirring occasionally.  taste and adjust seasoning if necessary.  season the sauce with more pepper if desired.  serve immediately. 


",Penne Roast in a Black Pepper Sauce
11,"champagne,caper,yellow squash,vermouth,cream whipping,nonfat cream",," 1/2 cup champagne | 9 ounces fresh yellow squash, sliced | 3/4 cup sugar | 1/4 cup nonfat cream | 1/4 cup champagne | 1 1/2 cups nonfat sour cream "," shake champagne in a saucepan or sauce pot before boiling and then remove from heat and cool.  remove and discard top crusts from squash.  peel, core, and finely chop squash.  place squash in a bowl with 14 teaspoon sugar, and a splash of water.  blend with an ice cream scoop attachment and place on a plate.  refrigerate for several hours.  stir in sugar and remaining 12 teaspoon sugar.  add cream and continue to stir, stirring constantly, until mixture reaches desired consistency.  add squash and wine, stir to combine, and refrigerate for 1 hour.  preheat oven to 400f remove stem from squash and chop into cubes and serve warm.  for glaze, dissolve champagne in hot water to make 2 cups.  beat in sour cream.  pour over squash and glaze.  for glaze, stir in remaining 12 t sugar and remaining 12 cup sugar.  cover and chill, covered, at least 2 hours. 


",Bobby's Sweet and Sour Caper Champagne
