antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'active yeast'}),frozenset({'salt'}),0.012610112,0.350971401,0.010558706,0.837320574,2.385723087,0.006132918,3.989616976,0.588257867
frozenset({'active yeast'}),frozenset({'water'}),0.012610112,0.150657657,0.011222397,0.889952153,5.907115333,0.009322587,7.717936947,0.841321795
frozenset({'arborio rice'}),frozenset({'butter'}),0.017738627,0.210208761,0.010920719,0.615646259,2.928737396,0.007191904,2.054855083,0.670448776
frozenset({'arborio rice'}),frozenset({'onion'}),0.017738627,0.283999035,0.010679377,0.602040816,2.119869235,0.005641624,1.799181913,0.537812851
frozenset({'arborio rice'}),frozenset({'parmesan cheese'}),0.017738627,0.316640521,0.011162061,0.629251701,1.987274712,0.005545293,1.843189787,0.505769971
frozenset({'baking powder'}),frozenset({'butter'}),0.029564378,0.210208761,0.015385544,0.520408163,2.475673048,0.009170852,1.646798754,0.614228731
frozenset({'baking powder'}),frozenset({'egg'}),0.029564378,0.186979607,0.025883915,0.875510204,4.682383389,0.020355979,6.530819553,0.810392294
frozenset({'baking powder'}),frozenset({'purpose flour'}),0.029564378,0.076264028,0.017436949,0.589795918,7.733605657,0.015182251,2.251893663,0.897219959
frozenset({'baking powder'}),frozenset({'salt'}),0.029564378,0.350971401,0.016773259,0.567346939,1.616504756,0.006397008,1.500113271,0.393000149
frozenset({'baking powder'}),frozenset({'sugar'}),0.029564378,0.124411729,0.017316279,0.585714286,4.707870306,0.013638123,2.113488929,0.811583698
frozenset({'balsamic vinegar'}),frozenset({'olive oil'}),0.03831302,0.371787136,0.021117413,0.551181102,1.482517947,0.006873125,1.399702345,0.338438511
frozenset({'oregano'}),frozenset({'basil'}),0.162302401,0.205080246,0.087003741,0.53605948,2.613901093,0.053718724,1.713408764,0.737056015
frozenset({'basil leaf'}),frozenset({'olive oil'}),0.064377941,0.371787136,0.032339809,0.502343018,1.351157607,0.008404919,1.262341102,0.277776575
frozenset({'bay leaf'}),frozenset({'garlic clove'}),0.04018342,0.296186799,0.02274647,0.566066066,1.911179258,0.010844672,1.621936305,0.496722867
frozenset({'bay leaf'}),frozenset({'olive oil'}),0.04018342,0.371787136,0.02009171,0.5,1.344855566,0.005152031,1.256425727,0.267161177
frozenset({'bay leaf'}),frozenset({'onion'}),0.04018342,0.283999035,0.026849282,0.668168168,2.352712815,0.01543723,2.157722366,0.599029815
frozenset({'beef'}),frozenset({'onion'}),0.072945577,0.283999035,0.044467238,0.609594706,2.14646753,0.023750764,1.833993998,0.576145542
frozenset({'kosher salt'}),frozenset({'black pepper'}),0.037528659,0.198805358,0.020393387,0.54340836,2.733368789,0.012932489,1.754729111,0.658877891
frozenset({'black pepper'}),frozenset({'salt'}),0.198805358,0.350971401,0.117955834,0.593323217,1.690517277,0.048180839,1.595932264,0.509820036
frozenset({'breadcrumb'}),frozenset({'egg'}),0.033848196,0.186979607,0.020152045,0.595365419,3.184119539,0.013823123,2.009270664,0.709972735
frozenset({'breadcrumb'}),frozenset({'parmesan cheese'}),0.033848196,0.316640521,0.017979969,0.531194296,1.677594181,0.007262258,1.457660333,0.418058817
frozenset({'nutmeg'}),frozenset({'butter'}),0.033727525,0.210208761,0.017436949,0.516994633,2.459434286,0.010347128,1.635160381,0.614115011
frozenset({'cannellini bean'}),frozenset({'olive oil'}),0.016954266,0.371787136,0.010257029,0.604982206,1.627227376,0.003953651,1.590340673,0.392105596
frozenset({'caper'}),frozenset({'olive oil'}),0.029564378,0.371787136,0.017376614,0.587755102,1.580891441,0.006384959,1.523882689,0.378639746
frozenset({'celery'}),frozenset({'carrot'}),0.045915289,0.067032702,0.027512972,0.599211564,8.939093121,0.024435146,2.327829882,0.930873138
frozenset({'celery rib'}),frozenset({'carrot'}),0.015445879,0.067032702,0.010679377,0.69140625,10.31446191,0.009643998,3.023286435,0.917215954
frozenset({'carrot'}),frozenset({'onion'}),0.067032702,0.283999035,0.047785688,0.712871287,2.510118698,0.028748466,2.493658535,0.644837677
frozenset({'celery'}),frozenset({'olive oil'}),0.045915289,0.371787136,0.022987812,0.50065703,1.346622788,0.005917098,1.258078919,0.269788986
frozenset({'celery'}),frozenset({'onion'}),0.045915289,0.283999035,0.03433088,0.747700394,2.632756816,0.021290982,2.83789966,0.650015665
frozenset({'celery rib'}),frozenset({'onion'}),0.015445879,0.283999035,0.011282732,0.73046875,2.572081806,0.006896117,2.65646735,0.620798659
frozenset({'chicken broth'}),frozenset({'onion'}),0.065644986,0.283999035,0.033425848,0.509191176,1.792932772,0.014782735,1.458818446,0.473326088
frozenset({'chicken stock'}),frozenset({'olive oil'}),0.022022445,0.371787136,0.011765416,0.534246575,1.436968961,0.003577754,1.348809972,0.310938368
frozenset({'italian breadcrumb'}),frozenset({'egg'}),0.016833595,0.186979607,0.010196694,0.605734767,3.239576647,0.007049155,2.062115361,0.703154306
frozenset({'purpose flour'}),frozenset({'egg'}),0.076264028,0.186979607,0.039097381,0.512658228,2.741786857,0.024837563,1.668275612,0.687722863
frozenset({'ricotta cheese'}),frozenset({'egg'}),0.063472909,0.186979607,0.036020273,0.567490494,3.035039514,0.024152133,1.879774624,0.715958999
frozenset({'vanilla extract'}),frozenset({'egg'}),0.027874985,0.186979607,0.017979969,0.645021645,3.449689818,0.012767915,2.290337937,0.730481012
frozenset({'eggplant'}),frozenset({'olive oil'}),0.027090624,0.371787136,0.015506215,0.572383073,1.539545125,0.005434269,1.469101957,0.360215968
frozenset({'flat leaf parsley'}),frozenset({'garlic clove'}),0.025099554,0.296186799,0.013997828,0.557692308,1.882907376,0.006563672,1.591229847,0.480978783
frozenset({'flour'}),frozenset({'salt'}),0.065162302,0.350971401,0.034813563,0.534259259,1.522230181,0.011943459,1.393540531,0.366982556
frozenset({'garlic'}),frozenset({'olive oil'}),0.188669,0.371787136,0.096295402,0.510393348,1.372810671,0.026150695,1.283097077,0.334718424
frozenset({'italian parsley'}),frozenset({'garlic clove'}),0.02141909,0.296186799,0.010860384,0.507042254,1.711900246,0.004516332,1.427735351,0.424955984
