support,itemsets
0.012610112223965247,frozenset({'active yeast'})
0.019910703511524075,frozenset({'almond'})
0.017738626764812356,frozenset({'arborio rice'})
0.020996741884879933,frozenset({'artichoke heart'})
0.012127428502473754,frozenset({'asparagus'})
0.023651502353083144,frozenset({'bacon'})
0.029564377941353928,frozenset({'baking powder'})
0.038313020393387236,frozenset({'balsamic vinegar'})
0.20508024616869797,frozenset({'basil'})
0.06437794135392784,frozenset({'basil leaf'})
0.04018341981416677,frozenset({'bay leaf'})
0.07294557741040184,frozenset({'beef'})
0.014118498853626161,frozenset({'beef broth'})
0.01291178954989743,frozenset({'bell pepper'})
0.03197779654881139,frozenset({'black olive'})
0.19880535778930855,frozenset({'black pepper'})
0.011644744780982262,frozenset({'bread crumb'})
0.033848195969590926,frozenset({'breadcrumb'})
0.015506214552914203,frozenset({'brown sugar'})
0.21020876070954508,frozenset({'butter'})
0.016954265717388683,frozenset({'cannellini bean'})
0.029564377941353928,frozenset({'caper'})
0.06703270182213104,frozenset({'carrot'})
0.01586822734403282,frozenset({'cayenne pepper'})
0.045915289006878246,frozenset({'celery'})
0.015445879087727767,frozenset({'celery rib'})
0.016954265717388683,frozenset({'cheddar cheese'})
0.015083866296609147,frozenset({'cheese'})
0.01894533606854109,frozenset({'cherry tomato'})
0.018824665138168214,frozenset({'chicken'})
0.0512851454084711,frozenset({'chicken breast'})
0.02172076746711717,frozenset({'chicken breast half'})
0.065644986122843,frozenset({'chicken broth'})
0.022022444793049354,frozenset({'chicken stock'})
0.01025702908169422,frozenset({'chive'})
0.01840231688186316,frozenset({'cinnamon'})
0.010377700012067092,frozenset({'cocoa powder'})
0.012127428502473754,frozenset({'cornstarch'})
0.012972125015083866,frozenset({'cottage cheese'})
0.03040907445396404,frozenset({'cream'})
0.02618559189091348,frozenset({'cream cheese'})
0.011222396524677205,frozenset({'dijon mustard'})
0.186979606612767,frozenset({'egg'})
0.017617955834439484,frozenset({'egg white'})
0.02461686979606613,frozenset({'egg yolk'})
0.02709062386871003,frozenset({'eggplant'})
0.13153131410643176,frozenset({'extra virgin olive oil'})
0.013515144201761796,frozenset({'fennel seed'})
0.011403402920236515,frozenset({'feta cheese'})
0.025099553517557622,frozenset({'flat leaf parsley'})
0.06516230240135151,frozenset({'flour'})
0.18866899963798722,frozenset({'garlic'})
0.2961867986002172,frozenset({'garlic clove'})
0.05906842041752142,frozenset({'garlic powder'})
0.013575479666948232,frozenset({'garlic salt'})
0.010498370942439966,frozenset({'green bean'})
0.030167732593218293,frozenset({'green bell pepper'})
0.010739712803185713,frozenset({'green olive'})
0.023530831422710268,frozenset({'green onion'})
0.028176662242065886,frozenset({'green pepper'})
0.010800048268372149,frozenset({'half'})
0.012791118619524557,frozenset({'ham'})
0.04470857970314951,frozenset({'heavy cream'})
0.011222396524677205,frozenset({'heavy whipping cream'})
0.014601182575117654,frozenset({'honey'})
0.01309279594545674,frozenset({'italian bread'})
0.016833594787015807,frozenset({'italian breadcrumb'})
0.01007602268613491,frozenset({'italian dressing'})
0.02141909014118499,frozenset({'italian parsley'})
0.05001810063955593,frozenset({'italian sausage'})
0.06884276577772415,frozenset({'italian seasoning'})
0.015385543622541329,frozenset({'italian tomato'})
0.011946422106914444,frozenset({'kalamata olive'})
0.037528659345963555,frozenset({'kosher salt'})
0.02648726921684566,frozenset({'lasagna noodle'})
0.03921805237118378,frozenset({'lemon'})
0.05955110413901291,frozenset({'lemon juice'})
0.023229154096778087,frozenset({'lemon zest'})
0.01641124653071075,frozenset({'linguine'})
0.010015687220948474,frozenset({'margarine'})
0.01960902618559189,frozenset({'marinara sauce'})
0.011282731989863641,frozenset({'marjoram'})
0.01218776396766019,frozenset({'mascarpone cheese'})
0.013515144201761796,frozenset({'mayonnaise'})
0.08923615301073971,frozenset({'milk'})
0.15210570773500665,frozenset({'mozzarella cheese'})
0.07976348497646917,frozenset({'mushroom'})
0.033727525039218054,frozenset({'nutmeg'})
0.019005671533727526,frozenset({'oil'})
0.010136358151321346,frozenset({'olive'})
0.3717871364788223,frozenset({'olive oil'})
0.283999034632557,frozenset({'onion'})
0.014721853505490528,frozenset({'onion powder'})
0.1623024013515144,frozenset({'oregano'})
0.015687220948473513,frozenset({'pancetta'})
0.015325208157354893,frozenset({'paprika'})
0.3166405212984192,frozenset({'parmesan cheese'})
0.02684928200796428,frozenset({'parmigiano reggiano cheese'})
0.1479425606371425,frozenset({'parsley'})
0.03294316399179437,frozenset({'pasta'})
0.010377700012067092,frozenset({'pasta sauce'})
0.013756486062507543,frozenset({'pea'})
0.011825751176541572,frozenset({'pecorino romano cheese'})
0.019548690720405455,frozenset({'penne pasta'})
0.12489441293592374,frozenset({'pepper'})
0.017255943043320864,frozenset({'pepperoni'})
0.015385543622541329,frozenset({'pesto sauce'})
0.028357668637625195,frozenset({'pine nut'})
0.024134186074574637,frozenset({'plum tomato'})
0.011644744780982262,frozenset({'pork'})
0.02371183781826958,frozenset({'potato'})
0.026125256425727043,frozenset({'prosciutto'})
0.02190177386267648,frozenset({'provolone cheese'})
0.07626402799565585,frozenset({'purpose flour'})
0.039459394231929526,frozenset({'red bell pepper'})
0.03915771690599734,frozenset({'red onion'})
0.04356220586460722,frozenset({'red pepper'})
0.09056353324484132,frozenset({'red pepper flake'})
0.04108845179196332,frozenset({'red wine'})
0.022927476770845903,frozenset({'red wine vinegar'})
0.06347290937613129,frozenset({'ricotta cheese'})
0.019126342464100398,frozenset({'rom tomato'})
0.02141909014118499,frozenset({'romano cheese'})
0.04748401110172559,frozenset({'rosemary'})
0.014601182575117654,frozenset({'sage'})
0.35097140098950164,frozenset({'salt'})
0.046940991915047664,frozenset({'salt black pepper'})
0.12278267165439846,frozenset({'salt pepper'})
0.024073850609388197,frozenset({'sea salt'})
0.02757330759020152,frozenset({'shallot'})
0.01870399420779534,frozenset({'shrimp'})
0.03740798841559068,frozenset({'spaghetti'})
0.03167611922287921,frozenset({'spaghetti sauce'})
0.05231084831664052,frozenset({'spinach'})
0.12441172921443225,frozenset({'sugar'})
0.017436949438880175,frozenset({'sun tomato'})
0.04899239773138651,frozenset({'thyme'})
0.20851936768432486,frozenset({'tomato'})
0.012127428502473754,frozenset({'tomato juice'})
0.06721370821769036,frozenset({'tomato paste'})
0.013394473271388922,frozenset({'tomato puree'})
0.0641365994931821,frozenset({'tomato sauce'})
0.010739712803185713,frozenset({'turkey'})
0.013454808736575358,frozenset({'vanilla'})
0.027874984916133702,frozenset({'vanilla extract'})
0.010136358151321346,frozenset({'vegetable broth'})
0.028961023289489563,frozenset({'vegetable oil'})
0.01218776396766019,frozenset({'walnut'})
0.15065765657053215,frozenset({'water'})
0.011825751176541572,frozenset({'whipping cream'})
0.011524073850609388,frozenset({'white pepper'})
0.02992639073247255,frozenset({'white sugar'})
0.08223723904911306,frozenset({'white wine'})
0.012549776758778811,frozenset({'worcestershire sauce'})
0.016350911065524314,frozenset({'yeast'})
0.022746470375286595,frozenset({'yellow onion'})
0.051526487269216846,frozenset({'zucchini'})
0.010558706407626402,"frozenset({'salt', 'active yeast'})"
0.011222396524677205,"frozenset({'water', 'active yeast'})"
0.010920719198745023,"frozenset({'butter', 'arborio rice'})"
0.010679377337999276,"frozenset({'onion', 'arborio rice'})"
0.011162061059490769,"frozenset({'parmesan cheese', 'arborio rice'})"
0.010739712803185713,"frozenset({'bacon', 'onion'})"
0.015385543622541329,"frozenset({'butter', 'baking powder'})"
0.025883914564981295,"frozenset({'baking powder', 'egg'})"
0.017436949438880175,"frozenset({'purpose flour', 'baking powder'})"
0.01677325932182937,"frozenset({'salt', 'baking powder'})"
0.0173162785085073,"frozenset({'sugar', 'baking powder'})"
0.013153131410643176,"frozenset({'balsamic vinegar', 'basil'})"
0.010136358151321346,"frozenset({'black pepper', 'balsamic vinegar'})"
0.011041390129117895,"frozenset({'balsamic vinegar', 'extra virgin olive oil'})"
0.013575479666948232,"frozenset({'balsamic vinegar', 'garlic clove'})"
0.021117412815252805,"frozenset({'balsamic vinegar', 'olive oil'})"
0.01309279594545674,"frozenset({'balsamic vinegar', 'salt'})"
0.011101725594304331,"frozenset({'balsamic vinegar', 'tomato'})"
0.015083866296609147,"frozenset({'bay leaf', 'basil'})"
0.02190177386267648,"frozenset({'beef', 'basil'})"
